"taper_ratio"	"alphaRange"	"sweep"	"twist"	"AR"	"2y/b"	"cl/CL"
0.6	10	0	0	7.28	0.9083903271681514	0.8174482890755589
0.6	10	0	0	7.28	0.917072396054433	0.7977478705491106
0.6	10	0	0	7.28	0.929214732122205	0.764610575586855
0.6	10	0	0	7.28	0.9370212351283022	0.7436245810485774
0.6	10	0	0	7.28	0.9447571167151799	0.7117293310988545
0.6	10	0	0	7.28	0.9502902469579636	0.6955495132804037
0.6	10	0	0	7.28	0.9552921724357532	0.672614625648784
0.6	10	0	0	7.28	0.9634170651358566	0.6397855074995124
0.6	10	0	0	7.28	0.9667776264243294	0.6218200328380749
0.6	10	0	0	7.28	0.9739439979887908	0.5750164014412301
0.6	10	0	0	7.28	0.9768955637328124	0.5546130970643641
0.6	10	0	0	7.28	0.9821161776201103	0.5103319698685065
0.6	10	0	0	7.28	0.9861699804247662	0.4803072234625205
0.6	10	0	0	7.28	0.9894737490082098	0.4480427779625398
0.6	10	0	0	7.28	0.9912733146534612	0.4226640919289304
0.6	10	0	0	7.28	0.9928974428361738	0.4030087514872267
0.6	10	0	0	7.28	0.9949347826338365	0.37095931653783665
0.6	10	0	0	7.28	0.9956337730550134	0.3475830313990922
0.6	10	0	0	7.28	0.9961058915342428	0.3248093849810927
0.6	10	0	0	7.28	0.9971087764472651	0.3018190038355164
0.4	10	0	0	7.28	0.006034956491898502	0.9350920990882218
0.4	10	0	0	7.28	0.035139447023839476	0.9420930643606599
0.4	10	0	0	7.28	0.06221276598584177	0.9513215223163447
0.4	10	0	0	7.28	0.09015809762093627	0.9602636174662246
0.4	10	0	0	7.28	0.12072471146649746	0.9706666543813421
0.4	10	0	0	7.28	0.15041843503962446	0.980967804153331
0.4	10	0	0	7.28	0.17923573459219042	0.9896037366108746
0.4	10	0	0	7.28	0.20135806810934462	0.9962165935956475
0.4	10	0	0	7.28	0.21241967269464454	0.9997167166301848
0.4	10	0	0	7.28	0.23774288732965418	1.0068285590877921
0.4	10	0	0	7.28	0.2665586982713627	1.0148059301020225
0.4	10	0	0	7.28	0.29799518235791933	1.0239747922517426
0.4	10	0	0	7.28	0.31770333932575023	1.0288300687749945
0.4	10	0	0	7.28	0.33204791462057903	1.0323775393642798
0.4	10	0	0	7.28	0.3582402094625865	1.0379056960159865
0.4	10	0	0	7.28	0.38792622728539294	1.0447978218461178
0.4	10	0	0	7.28	0.414114797681412	1.048678283592593
0.4	10	0	0	7.28	0.44511041345160907	1.0537131196931881
0.4	10	0	0	7.28	0.46541500715829043	1.0569083319068517
0.4	10	0	0	7.28	0.48187145390003605	1.059657432697795
0.4	10	0	0	7.28	0.5012285572871942	1.0619304923008872
0.4	10	0	0	7.28	0.5228838344403923	1.0644298807997816
0.4	10	0	0	7.28	0.5411698972514523	1.0657836758709978
0.4	10	0	0	7.28	0.5619944638160225	1.0644927614591628
0.4	10	0	0	7.28	0.5801407774810897	1.065663667153149
0.4	10	0	0	7.28	0.5940641048632009	1.065252107934121
0.4	10	0	0	7.28	0.6153704134027684	1.0644047461069905
0.4	10	0	0	7.28	0.637258989137857	1.063775878657169
0.4	10	0	0	7.28	0.6497653114561447	1.0629778444626319
0.4	10	0	0	7.28	0.6750660918498799	1.0601647785804222
0.4	10	0	0	7.28	0.6973112357627694	1.05676482640826
0.4	10	0	0	7.28	0.7117030622904674	1.0536401874629586
0.4	10	0	0	7.28	0.7404827982561166	1.045657989068578
0.4	10	0	0	7.28	0.7648959637782571	1.0362288733745433
0.4	10	0	0	7.28	0.7901726637022403	1.0227626076740282
0.4	10	0	0	7.28	0.8171902677543484	1.0073427894925242
0.4	10	0	0	7.28	0.8398365528889021	0.9883753290936592
0.4	10	0	0	7.28	0.8589911217484697	0.9689316661678952
0.4	10	0	0	7.28	0.8772663062533633	0.9465131341162564
0.4	10	0	0	7.28	0.8946609367807671	0.9206022918047108
0.4	10	0	0	7.28	0.9103066371907508	0.8930943043100374
0.4	10	0	0	7.28	0.9224610822947407	0.8653140469707011
0.4	10	0	0	7.28	0.9328714959368715	0.8381038096684178
0.4	10	0	0	7.28	0.9415312181472232	0.8085172217105825
0.4	10	0	0	7.28	0.9493085356239811	0.7746195489925191
0.4	10	0	0	7.28	0.9553522519223495	0.7459062537185233
0.4	10	0	0	7.28	0.9622681628351372	0.7169870864817941
0.4	10	0	0	7.28	0.9661023254994675	0.6908130600420274
0.4	10	0	0	7.28	0.9710919656529021	0.6624431449159154
0.4	10	0	0	7.28	0.975478583082719	0.6402433108488436
0.4	10	0	0	7.28	0.9774736032118664	0.625411364168175
0.4	10	0	0	7.28	0.9801965780608847	0.6048150055779242
0.4	10	0	0	7.28	0.9839831452571138	0.574529461092943
0.4	10	0	0	7.28	0.9848928609079145	0.5612205730870411
0.4	10	0	0	7.28	0.9898617006119289	0.5215222715547663
0.4	10	0	0	7.28	0.9916330148709597	0.4907852680135234
0.4	10	0	0	7.28	0.9956202130312518	0.44085787472800564
0.4	10	0	0	7.28	0.9975413339174538	0.4168330665273321
0.4	10	0	0	7.28	0.9983957573912065	0.40451270676856743
0.4	10	0	0	7.28	0.9991786904702497	0.3733075041279583
0	10	0	0	7.28	0.018288935150929525	0.8141521597080709
0	10	0	0	7.28	0.040985817305189104	0.826073891157521
0	10	0	0	7.28	0.057586586673543744	0.8350236414644112
0	10	0	0	7.28	0.08642102276403876	0.8512407783017452
0	10	0	0	7.28	0.11787466965812762	0.8680024665037847
0	10	0	0	7.28	0.13709718922506817	0.8786201965198562
0	10	0	0	7.28	0.15631865800787406	0.8887730596347655
0	10	0	0	7.28	0.17553995165999095	0.8988484449328142
0	10	0	0	7.28	0.18864454329905436	0.9053482453282865
0	10	0	0	7.28	0.2183487659569933	0.9202941902210565
0	10	0	0	7.28	0.24717873621491612	0.9345356427284501
0	10	0	0	7.28	0.2663975780373854	0.9435263385904533
0	10	0	0	7.28	0.2856162447291656	0.9524395566355962
0	10	0	0	7.28	0.3048363124664588	0.9619725972156222
0	10	0	0	7.28	0.32405532941961723	0.9710407708944857
0	10	0	0	7.28	0.3555059990919913	0.9864853362098984
0	10	0	0	7.28	0.3776367388822227	0.9968171284039705
0	10	0	0	7.28	0.39394420812899733	1.004699161384486
0	10	0	0	7.28	0.4131667276959379	1.0153168914005577
0	10	0	0	7.28	0.43238907213218936	1.0258571435997688
0	10	0	0	7.28	0.4487014158498108	1.035895642482899
0	10	0	0	7.28	0.4712258591586347	1.0488175293548687
0	10	0	0	7.28	0.502410137948379	1.0662450283627827
0	10	0	0	7.28	0.5241726758131607	1.0787235429088096
0	10	0	0	7.28	0.5459858423137686	1.0926482523033494
0	10	0	0	7.28	0.5608403106099289	1.1011639470349806
0	10	0	0	7.28	0.5826892317631626	1.1155074306818473
0	10	0	0	7.28	0.6071644210697832	1.1335176372419011
0	10	0	0	7.28	0.6263932453415315	1.1469245686649472
0	10	0	0	7.28	0.64562206961328	1.1603315000879932
0	10	0	0	7.28	0.6648524700612302	1.174435731862783
