"taper_ratio"	"alphaRange"	"sweep"	"AR"	"2y/b"	"cl/CL"
1	10	7.28	8	0.6300000000000002	1.042187925748791
1	10	7.28	8	0.6500000000000002	1.0311866446999451
1	10	7.28	8	0.6700000000000003	1.0190403969065518
1	10	7.28	8	0.6900000000000003	1.0056079830729454
1	10	7.28	8	0.7100000000000003	0.9907231629850034
1	10	7.28	8	0.7300000000000003	0.9741890221824229
1	10	7.28	8	0.7500000000000003	0.9557706655276379
1	10	7.28	8	0.7700000000000004	0.9351855754464323
1	10	7.28	8	0.7900000000000004	0.9120906163485377
1	10	7.28	8	0.8100000000000004	0.8860640561362617
1	10	7.28	8	0.8300000000000004	0.8565798801577043
1	10	7.28	8	0.8500000000000004	0.8229696032493683
1	10	7.28	8	0.8700000000000004	0.7843626345816441
1	10	7.28	8	0.8900000000000005	0.7395873040033059
1	10	7.28	8	0.9100000000000005	0.6869935555790899
1	10	7.28	8	0.9300000000000005	0.6241022761249924
1	10	7.28	8	0.9500000000000005	0.5468110823118906
1	10	7.28	8	0.9700000000000005	0.4471900607925606
1	10	7.28	8	0.9900000000000004	0.3047490348695423
1	10	7.28	6	0.01	1.1452122074633109
1	10	7.28	6	0.03	1.1463354219607318
1	10	7.28	6	0.049999999999999996	1.1476004561997994
1	10	7.28	6	0.06999999999999999	1.1487987660828245
1	10	7.28	6	0.09000000000000001	1.1498383400843342
1	10	7.28	6	0.10999999999999999	1.1506656102302673
1	10	7.28	6	0.13	1.1512455216618271
1	10	7.28	6	0.15	1.1515535472047629
1	10	7.28	6	0.17	1.1515715411561267
1	10	7.28	6	0.19000000000000003	1.1512852614124893
1	10	7.28	6	0.21000000000000005	1.150682758656089
1	10	7.28	6	0.23000000000000007	1.1497532666393857
1	10	7.28	6	0.25000000000000006	1.1484864017791643
1	10	7.28	6	0.2700000000000001	1.1468715614683744
1	10	7.28	6	0.2900000000000001	1.1448974524982907
1	10	7.28	6	0.3100000000000001	1.142551704382224
1	10	7.28	6	0.3300000000000001	1.1398205361696454
1	10	7.28	6	0.35000000000000014	1.1366884538127473
1	10	7.28	6	0.37000000000000016	1.1331379604696303
1	10	7.28	6	0.3900000000000002	1.129149265461649
1	10	7.28	6	0.4100000000000002	1.124699979592264
1	10	7.28	6	0.4300000000000002	1.11976478554628
1	10	7.28	6	0.45000000000000023	1.11431507232383
1	10	7.28	6	0.47000000000000025	1.1083185222215384
